[06-03-26 00:21:22.140] LOG  : General     , 1772727682140> cachedir set to "/Users/zhangyuhao/Zomboid".
[06-03-26 00:21:22.146] LOG  : General     , 1772727682146> 06-03-2026 00:21:22.
[06-03-26 00:21:22.146] LOG  : General     , 1772727682146> cachedir is "/Users/zhangyuhao/Zomboid".
[06-03-26 00:21:22.146] LOG  : General     , 1772727682146> LogFileDir is "/Users/zhangyuhao/Zomboid/Logs".
[06-03-26 00:21:22.146] LOG  : General     , 1772727682146> ===== System specs =====.
[06-03-26 00:21:22.147] LOG  : General     , 1772727682147> OS: Mac OS X, version: 26.3, arch: x86_64.
[06-03-26 00:21:22.149] LOG  : General     , 1772727682149> Available processors (cores): 10.
[06-03-26 00:21:22.152] LOG  : General     , 1772727682152> Memory free: 208.0 MB.
[06-03-26 00:21:22.153] LOG  : General     , 1772727682153> Memory max: 3072.0 MB.
[06-03-26 00:21:22.153] LOG  : General     , 1772727682153> Memory  total available to JVM: 256.0 MB.
[06-03-26 00:21:22.155] LOG  : General     , 1772727682155> /, Total: 228.27386 GB, Free: 71.23361 GB.
[06-03-26 00:21:22.156] LOG  : General     , 1772727682156> ========================.
[06-03-26 00:21:22.156] LOG  : General     , 1772727682156> -- listing properties --.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> socksProxyHost=127.0.0.1.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> http.proxyHost=127.0.0.1.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> java.specification.version=17.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> sun.jnu.encoding=UTF-8.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> java.class.path=/Users/zhangyuhao/Library/Application....
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> DocumentsDirectory=/Users/zhangyuhao/Documents.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> CachesDirectory=/Users/zhangyuhao/Library/Caches.
[06-03-26 00:21:22.157] LOG  : General     , 1772727682157> https.proxyPort=6789.
[06-03-26 00:21:22.158] LOG  : General     , 1772727682158> java.vm.vendor=Azul Systems, Inc..
[06-03-26 00:21:22.158] LOG  : General     , 1772727682158> sun.arch.data.model=64.
[06-03-26 00:21:22.158] LOG  : General     , 1772727682158> java.vendor.url=http://www.azul.com/.
[06-03-26 00:21:22.158] LOG  : General     , 1772727682158> user.timezone=Asia/Shanghai.
[06-03-26 00:21:22.159] LOG  : General     , 1772727682158> zomboid.steam=1.
[06-03-26 00:21:22.159] LOG  : General     , 1772727682159> java.vm.specification.version=17.
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> os.name=Mac OS X.
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> sun.java.launcher=SUN_STANDARD.
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> user.country=CN.
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> sun.boot.library.path=/Users/zhangyuhao/Library/Application....
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> zomboid.znetlog=1.
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> sun.java.command=zombie.gameStates.MainScreenState -Dj....
[06-03-26 00:21:22.160] LOG  : General     , 1772727682160> http.nonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0.....
[06-03-26 00:21:22.161] LOG  : General     , 1772727682161> jdk.debug=release.
[06-03-26 00:21:22.161] LOG  : General     , 1772727682161> sun.cpu.endian=little.
[06-03-26 00:21:22.162] LOG  : General     , 1772727682162> user.home=/Users/zhangyuhao.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682162> user.language=zh.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> java.specification.vendor=Oracle Corporation.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> java.version.date=2021-10-19.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> java.home=/Users/zhangyuhao/Library/Application....
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> file.separator=/.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> https.proxyHost=127.0.0.1.
[06-03-26 00:21:22.163] LOG  : General     , 1772727682163> line.separator=.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> java.vm.specification.vendor=Oracle Corporation.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> java.specification.name=Java Platform API Specification.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> java.awt.headless=true.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> ApplicationSupportDirectory=/Users/zhangyuhao/Library/Application....
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> user.script=Hans.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> sun.management.compiler=HotSpot 64-Bit Tiered Compilers.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> ftp.nonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0.....
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> java.runtime.version=17.0.1+12-LTS.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> user.name=zhangyuhao.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> path.separator=:.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> SandboxEnabled=true.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> os.version=26.3.
[06-03-26 00:21:22.164] LOG  : General     , 1772727682164> java.runtime.name=OpenJDK Runtime Environment.
